,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,N12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O01,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O02,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O03,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O04,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O05,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O06,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O09,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,O24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P01,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P02,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P03,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P04,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P05,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P06,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P09,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,P24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
